Name,URL,Timezone,Start_time,organizer_id,venue_id,format_id
TEDxEuston 2017: METAMORPHOSIS,https://www.eventbrite.co.uk/e/tedxeuston-2017-metamorphosis-tickets-36713978498?aff=ebapi,Europe/London,2017-12-02T09:30:00Z,1884303435,20619716,1
TEDxPortland Salon,https://www.eventbrite.com/e/tedxportland-salon-tickets-39527431612?aff=ebapi,America/Los_Angeles,2017-11-17T02:00:00Z,7918150763,21922015,1
TEDxHounslowED,https://www.eventbrite.co.uk/e/tedxhounslowed-tickets-37577930602?aff=ebapi,Europe/London,2017-11-23T18:00:00Z,15015090005,21137841,1
TEDxFreiburg 2017,https://www.eventbrite.de/e/tedxfreiburg-2017-tickets-38491494095?aff=ebapi,Europe/Berlin,2017-12-02T14:00:00Z,15306235859,21416199,1
TEDxHeidelberg 2017,https://www.eventbrite.de/e/tedxheidelberg-2017-tickets-38235528495?aff=ebapi,Europe/Berlin,2017-11-28T13:00:00Z,11840159985,21309727,1
TEDxHoritzoSchool,https://www.eventbrite.com/e/tedxhoritzoschool-tickets-36275230190?aff=ebapi,Europe/Madrid,2017-11-22T17:00:00Z,12910261626,22042243,1
TEDxHickory 2017,https://www.eventbrite.com/e/tedxhickory-2017-tickets-35038437911?aff=ebapi,America/New_York,2017-11-18T15:00:00Z,1873458045,19840167,1
TEDxWLUBrantford - STUDENT RSVP,https://www.eventbrite.ca/e/tedxwlubrantford-student-rsvp-tickets-39565255745?aff=ebapi,America/Toronto,2017-11-18T14:00:00Z,15648138541,21942574,1
TEDxPaloAltoSalon,https://www.eventbrite.com/e/tedxpaloaltosalon-tickets-39493263414?aff=ebapi,America/Los_Angeles,2017-12-18T02:30:00Z,12694459512,21905007,2
TEDxBroadway 2018,https://www.eventbrite.com/e/tedxbroadway-2018-tickets-36412591040?aff=ebapi,America/New_York,2018-02-27T18:15:00Z,7016611859,17643308,4
TEDxLinz - THE NEW NORMAL,https://www.eventbrite.de/e/tedxlinz-the-new-normal-tickets-38117068177?aff=ebapi,Europe/Vienna,2018-02-10T08:00:00Z,15194578692,21264759,1
TEDxTomball-ED,https://www.eventbrite.com/e/tedxtomball-ed-registration-36560225619?aff=ebapi,America/Chicago,2018-02-28T15:00:00Z,14685103154,20492971,2
TEDxHaymarket Salon: Perplexity,https://www.eventbrite.com.au/e/tedxhaymarket-salon-perplexity-tickets-39125599722?aff=ebapi,Australia/Sydney,2017-11-30T07:00:00Z,12676493625,21740778,1
